2025-09-03 21:51:29 | src.utils.logging_config | INFO | setup_logging:144 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Logging system initialized | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | log_dir=logs | main_log=pipeline_comprehensive.log
2025-09-03 21:51:29 | src.utils.logging_config | INFO | setup_pipeline_logging:427 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Pipeline logging system initialized
2025-09-03 21:51:29 | src.utils.progress_tracker | INFO | __init__:142 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Progress tracker initialized: Lending Club ML Pipeline
2025-09-03 21:51:29 | root | INFO | setup_infrastructure:118 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Infrastructure setup completed
2025-09-03 21:51:29 | main_pipeline | INFO | wrapper:350 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | SUCCESS: setup_infrastructure
2025-09-03 21:51:29 | root | INFO | run:398 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Starting data loading and validation phase
2025-09-03 21:51:29 | src.utils.progress_tracker | INFO | update:204 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Progress update: Loading and validating data...
2025-09-03 21:51:29 | main_pipeline | INFO | wrapper:335 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | ENTRY: load_and_validate_data
2025-09-03 21:51:29 | src.lending_club.data_pipeline | INFO | wrapper:335 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | ENTRY: load_quarterly_data
2025-09-03 21:51:29 | src.lending_club.data_pipeline | INFO | load_quarterly_data:49 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Loading data for 2016Q1 from data/2016Q1.csv
2025-09-03 21:51:31 | src.lending_club.data_pipeline | INFO | _validate_temporal_constraints:202 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | 2016Q1: Temporal validation completed
2025-09-03 21:51:31 | src.lending_club.data_pipeline | INFO | load_quarterly_data:62 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Loaded 133887 rows for 2016Q1
2025-09-03 21:51:31 | src.lending_club.data_pipeline | INFO | load_quarterly_data:49 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Loading data for 2016Q2 from data/2016Q2.csv
2025-09-03 21:51:32 | src.lending_club.data_pipeline | INFO | _validate_temporal_constraints:202 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | 2016Q2: Temporal validation completed
2025-09-03 21:51:32 | src.lending_club.data_pipeline | INFO | load_quarterly_data:62 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Loaded 97854 rows for 2016Q2
2025-09-03 21:51:32 | src.lending_club.data_pipeline | INFO | load_quarterly_data:49 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Loading data for 2016Q3 from data/2016Q3.csv
2025-09-03 21:51:34 | src.lending_club.data_pipeline | INFO | _validate_temporal_constraints:202 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | 2016Q3: Temporal validation completed
2025-09-03 21:51:34 | src.lending_club.data_pipeline | INFO | load_quarterly_data:62 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Loaded 99120 rows for 2016Q3
2025-09-03 21:51:34 | src.lending_club.data_pipeline | INFO | load_quarterly_data:71 | exec_id=d3bade81-a6ad-4fb2-8f88-a6cd59ec013f | Combined data loaded: 330861 rows across 3 quarters
